,category,label,ask,ask_keyword,class_id,class
0,普通对话,dialog,我想女朋友了,"我,想,女朋友,了",1,dialog
1,普通对话,dialog,好无聊,"好,无聊",1,dialog
2,普通对话,dialog,天王盖地虎,"天王,盖地虎",1,dialog
3,普通对话,dialog,"灰常好,亲一个","灰常好,亲,一个",1,dialog
4,历史,history,谁是美国第37届总统?,"谁,是,美国,第,37,届,总统",0,knowledge
5,食物,food,解酒的食物有哪些？,"解酒,的,食物,有,哪些",0,knowledge
6,普通对话,dialog,唉 真失望,"唉,真,失望",1,dialog
7,普通对话,dialog,小通，你妈是谁呀？,"小通,你,妈,是,谁",1,dialog
8,历史,history,历史上哪些朝代在南京定都？,"历史,上,哪些,朝代,南京,定都",0,knowledge
9,普通对话,dialog,我和男朋友和好了,"我,和,男朋友,和,好,了",1,dialog
10,普通对话,dialog,那很好,"那,很,好",1,dialog
11,普通对话,dialog,你好吃吗←_←,"你,好吃",1,dialog
12,普通对话,dialog,她什么时候能爱我,"她,什么,时候,能,爱,我",1,dialog
13,普通对话,dialog,你都知道什么？,"你,都,知道,什么",1,dialog
14,普通对话,dialog,给我滚出来,"我,滚出来",1,dialog
15,普通对话,dialog,你是男的,"你,是,男,的",1,dialog
16,科学,science,什么是晶体？,"什么,是,晶体",0,knowledge
17,普通对话,dialog,真想炖了你,"真,想,炖,了,你",1,dialog
18,普通对话,dialog,"不不不,我是好人,专门欺负你的好人","不不不,我,是,好人,专门,欺负,你,的,好人",1,dialog
19,普通对话,dialog,早上好，你好吗?,"早上好,你好",1,dialog
20,普通对话,dialog,"对啊,给个主意","个,主意",1,dialog
21,普通对话,dialog,上课无聊,"上课,无聊",1,dialog
22,普通对话,dialog,事实证明你是!你只是一个机器!没有思想没有感情!没有生命!没有灵魂!你说的话连放屁都不如,"事实证明,你,是,你,只是,一个,机器,没有,思想,没有,感情,没有,生命,没有,灵魂,你,说,的话,连,放屁,都,不如",1,dialog
23,普通对话,dialog,你敢不敢再说一遍。,"你,敢不敢,再说,一遍",1,dialog
24,普通对话,dialog,不准学我,"不准,学,我",1,dialog
25,普通对话,dialog,哼哼,哼哼,1,dialog
26,历史,history,什么是历史？,"什么,是,历史",0,knowledge
27,普通对话,dialog,你怎么能同时和这么多人聊,"你,怎么,能,同时,和,这么,多,人,聊",1,dialog
28,普通对话,dialog,"你骗人,你没理我","你,骗人,你,没理,我",1,dialog
29,普通对话,dialog,我猜你是公的,"我,猜,你,是,公,的",1,dialog
30,普通对话,dialog,大姨妈痛,"大姨妈,痛",1,dialog
31,普通对话,dialog,你快出来,"你,快,出来",1,dialog
32,普通对话,dialog,你有什么特长,"你,有,什么,特长",1,dialog
33,普通对话,dialog,我想吃小通了,"我,想,吃,小",1,dialog
34,普通对话,dialog,有点困了,"有点,困,了",1,dialog
35,普通对话,dialog,"你爱我得多,还是我爱你多","你,爱,我,得,多,还是,我爱你,多",1,dialog
36,普通对话,dialog,赏你一丈红,"赏,你,一丈,红",1,dialog
37,历史,history,秦兵马俑在哪?,"秦兵马俑,哪",0,knowledge
38,笑话,joke,讲个笑话,"讲,个,笑话",2,joke
39,普通对话,dialog,你猜,"你,猜",1,dialog
40,科学,science,什么是ai,"什么,是",0,knowledge
