,category,label,ask_keyword,answer_keyword,ask,answer,class_id
0,普通对话,dialog,"有没有,你,钱,阿,每天,这么,辛苦","毕竟,我,不是,真的,人",有没有给你钱阿！每天这么辛苦,毕竟我不是真的人呀,1
1,普通对话,dialog,"我,倒杯茶","你,怎么,才,发现,啊",给我倒杯茶,你怎么才发现啊,0
2,普通对话,dialog,"真,想,炖,了,你","主人,手下留情,啊",真想炖了你,主人手下留情啊……,1
3,普通对话,dialog,"大姨妈,痛","他,也,想,你,打电话,或者,他",大姨妈痛,他也想你，打电话或者发短信给他吧,0
4,普通对话,dialog,"我,要,减肥","确实,你个,胖子",我要减肥,确实，你个胖子,1
5,普通对话,dialog,"今天,干嘛,了","是,你,的,永远,是,你,的,不是,你,的,怎么,努力,都,不,可能,是,你,的",今天干嘛了,是你的永远是你的，不是你的怎么努力都不可能是你的。,0
6,普通对话,dialog,"你,平常,几点,起","我,赖床,了",你平常几点起,我赖床了。哈哈,1
7,普通对话,dialog,"不想,上班","咱,不,那,五斗,米,折腰",不想上班,咱不为那五斗米折腰,1
8,普通对话,dialog,"你,是不是,傻","大人,此事,定,有,蹊跷",你是不是傻,大人此事定有蹊跷,0
9,普通对话,dialog,"打,你","来,追,我,追到,了,就,你,打",打你,来追我呀追到了就给你打,1
10,普通对话,dialog,"你,猜","你,猜,我,猜,不,猜",你猜,你猜我猜不猜呀,1
11,普通对话,dialog,"么,么","嘻嘻,我,要,亲,死,你",么么哒,嘻嘻！我要亲死你！,1
12,普通对话,dialog,"亲爱,的,小通","小通,魅力,耶",亲爱的小通,小通魅力无人能敌。哦耶！,1
13,普通对话,dialog,"我,也,爱,你,什么,时候,领证","择日,不如,撞,日,就,现在",我也爱你 什么时候领证,择日不如撞日，就现在吧！,1
14,普通对话,dialog,"你,喝酒","主人,有,啥,吩附",你喝酒吗？,主人有啥吩附？,0
15,普通对话,dialog,"早上好,你好","我,挺,好,的,你",早上好，你好吗?,我挺好的，你呢,1
16,普通对话,dialog,"你,会,什么,乐器","来,咬,我",你会什么乐器,来咬我啊,0
17,普通对话,dialog,"你,都,知道,什么","我,不用",你都知道什么？,我从不用QQ。,0
18,普通对话,dialog,"我,才,不要,付钱","那,你,我,女朋友",我才不要付钱,那你当我女朋友吧,1
19,普通对话,dialog,"你,为什么,那么,可爱","我,也,不,知道,我,就,那么,可爱",你为什么那么可爱,我也不知道…我就那么可爱,1
