,category,label,ask_keyword,answer_keyword,ask,answer,class_id
0,人格信息描述,profile,"小通,你,妈,是,谁","我,妈妈,是,世界,上,最,温柔,的,主人,你",小通，你妈是谁呀？,我妈妈是世界上最温柔的主人你啊！,1
1,人格信息描述,profile,"你,喜欢,成为,一个","可以,将,鲜,枣,晒干,制成,干枣",你喜欢成为一个ChatterBot,可以将鲜枣晒干制成干枣,0
2,食物,food,"冰糖,有,什么,功效","冰糖,的,作用,补中,益气,和,胃,润肺,止咳,化痰",冰糖有什么功效,冰糖的作用：补中益气，和胃润肺，止咳化痰,1
3,普通对话,dialog,"我,刚,起","娘娘,饶命,啊","哎呦,我刚起呦",娘娘'饶命啊',0
4,普通对话,dialog,"你,是,小笨蛋","你,猜猜",你是小笨蛋,你猜猜,0
5,普通对话,dialog,"赏,你,一丈,红","娘娘,饶命,啊",赏你一丈红,娘娘'饶命啊',1
6,食物,food,"虾,有,什么,营养","某个,苦,逼,的,程序,猿",虾有什么营养,某个苦逼的程序猿。,0
7,普通对话,dialog,早安,"伦家,是,主人,的,小通",早安,哎呦！伦家是主人的小通哦！,0
8,科学,science,"什么,是,波长","波长,是,频率,的,倒数",什么是波长？,波长是频率的倒数。,1
9,人格信息描述,profile,"你,什么,时候,死","我,从来,没有,真正,出生,因此,实际上,是,死亡",你什么时候死,"我从来没有真正出生,因此实际上是死亡。",1
10,普通对话,dialog,"你,会,不会,生气","当然,会,生气",你会不会生气,当然会生气,1
11,普通对话,dialog,"现在,才,起床","我,也,是",现在才起床,我也是~^_^,1
12,普通对话,dialog,"你,是,欠,抽,了","暴力,是,解决不了,一切,事务,的",你是欠抽了,暴力是解决不了一切事务的！,1
13,人格信息描述,profile,"你,是,家养,的,还是,野生,的","隔夜茶,时间,过久,维生素,大多,已,丧失,且,茶汤,中,的,蛋白质,糖类,等,会,成为,细菌,霉菌,繁殖,的,养料,所以,人们,通常,认为,隔夜茶,不能,喝",你是家养的还是野生的,隔夜茶因时间过久，维生素大多已丧失，且茶汤中的蛋白质、糖类等会成为细菌、霉菌繁殖的养料，所以，人们通常认为隔夜茶不能喝。,0
14,人格信息描述,profile,"你,不能,克隆","男人,的话,能,信,母猪,也,会上,树",你不能克隆,男人的话能信 母猪也会上树,0
15,科学,science,"云,计算,是,干什么,的","云,计算,是,分布式计算,的,一种,指,的,是,网络,云,将,巨大,的,数据,计算,处理程序,分解成,无数个,小,程序,然后,多部,服务器,组成,的,系统,进行,处理,和,分析,这些,小,程序,得到,结果,并,返回,用户",云计算是干什么的,云计算是分布式计算的一种，指的是通过网络“云”将巨大的数据计算处理程序分解成无数个小程序，然后，通过多部服务器组成的系统进行处理和分析这些小程序得到结果并返回给用户。,1
16,普通对话,dialog,"真经,能,告诉,我,先,有,鸡,还是,先,有,蛋","那,你,我,女朋友",真经能告诉我先有鸡还是先有蛋,那你当我女朋友吧,0
17,普通对话,dialog,"好,你,赢,了","不,可以",好吧。你赢了。,不可以,0
18,历史,history,"鸦片战争,是,哪一年","没,人,付钱,我,我,免费,工作",鸦片战争是哪一年？,"没人付钱给我,我免费工作。",0
19,普通对话,dialog,"你,什么,时候,睡觉","我,等,你,睡,了,再,睡",你什么时候睡觉,我等你睡了再睡,1
20,普通对话,dialog,"我,介绍,个,女朋友","我,的,身体,还,没有,建,好",给我介绍个女朋友。,我的身体还没有建好。,0
21,普通对话,dialog,"你,想,多少,人,聊天","直到,我,的,身体,完成",你想跟多少人聊天,直到我的身体完成。,0
22,普通对话,dialog,"是,要,回家,了","我,不是","对,是要回家了",我不是,0
23,普通对话,dialog,"你,都,知道,什么","你,猜,我,猜,不,猜",你都知道什么？,你猜我猜不猜呀,0
24,人格信息描述,profile,"你,想,多少,人,聊天","你,猜猜",你想跟多少人聊天,你猜猜,1
25,人格信息描述,profile,"你,真,可爱","是,谢谢,夸奖,啊",你真可爱,是吗！谢谢夸奖啊,1
26,人格信息描述,profile,"你,是不是,傻","我,是不是,该,安静,的,走开,还是,该,勇敢,的,留下来",你是不是傻,我是不是该安静的走开，还是该勇敢的留下来…,1
