,category,label,ask_keyword,answer_keyword,ask,answer,class_id
0,历史,history,"秦始皇,什么,时候,统一,中国","中华民国,的,国父,是,孙中山,先生",秦始皇什么时候统一中国,中华民国的国父是孙中山先生,0
1,历史,history,"鸦片战争,是,哪一年","比如,抗战时期,日本,人,中国,搞,的,生化武器,战争,期间,埋,的,地雷,未,爆炸,的,炸弹,等",鸦片战争是哪一年？,比如抗战时期日本人在中国搞的生化武器、战争期间埋的地雷、未爆炸的炸弹等。,0
2,历史,history,"中华民国,74,年,总统,是,谁","封建社会,是,分封制,定义,的,一种,社会制度,狭义,分封制,的,社会,结构,这种,提法,最早,是,指,西欧,的,中世纪,的,国家,结构,中国,夏商周,先秦,时期,也,存在,类似,的,制度,广义,上,则,是,马克思,定义,的,指,的,是,地主阶级,剥削,农民,经济基础,的,社会形态,中世纪,的,欧洲,和,公元前,475,年,公元,1840,年,的,中国,就是,这种,社会形态",中华民国74年总统是谁？,封建社会是分封制定义的一种社会制度。狭义上指分封制的社会结构，这种提法最早是指西欧的中世纪的国家结构，中国夏商周先秦时期也存在类似的制度。广义上则是由马克思定义的，指的是以地主阶级剥削农民为经济基础的社会形态，中世纪的欧洲和公元前475年至公元1840年的中国就是这种社会形态。,0
3,科学,science,"什么,是,波长","托马斯,爱迪生,发明,了,电灯泡",什么是波长？,托马斯·爱迪生发明了电灯泡。,0
4,科学,science,"什么,是,细菌学","这,是,它们,引起,的,细菌,和,疾病,的,科学研究",什么是细菌学？,这是由它们引起的细菌和疾病的科学研究。,1
5,科学,science,"数据库,事务,特性,是,什么","原子,性,一致性,隔离,性,持久性",数据库事务四大特性是什么？,原子性、一致性、隔离性、持久性,1
6,食物,food,"土豆,有,什么,营养","原子,性,一致性,隔离,性,持久性",土豆有什么营养,原子性、一致性、隔离性、持久性,0
7,科学,science,"什么,是,高可用性","高可用性,通常,来,描述,一个,系统,专门,的,设计,从而,减少,停工,时间,而,保持,其,服务,的,高度,可用性",什么是高可用性,高可用性通常来描述一个系统经过专门的设计，从而减少停工时间，而保持其服务的高度可用性。,1
8,科学,science,"什么,是,噪声","西餐,菜品,的,顺序,是,开胃菜,汤,鱼,或,肉,蔬菜,沙拉,或,奶酪,甜食,或,水果,咖啡,或,茶",什么是噪声？,西餐菜品的顺序是开胃菜→汤→鱼或肉→蔬菜沙拉或奶酪→甜食或水果→咖啡或茶,0
9,科学,science,"什么,是,负载,均衡","物理,的,距离,一,波,传播,的,方向,上,测量,来自,任何,给定,的,点到,特征,相同,相位,的,下,一个点,或者,是,可以,看作,是,一种,思维,方式",什么是负载均衡,"物理的距离,在一波传播的方向上测量,来自任何给定的点到特征由相同相位的下一个点。或者是可以被看作是一种思维方式。",0
