,category,label,ask,ask_keyword,class_id,class
0,历史,history,什么叫历史遗留危险废物,"什么,叫,历史,遗留,危险废物",1,history
1,科学,science,细胞的分子组成有哪些？,"细胞,的,分子,组成,有,哪些",2,science
2,食物,food,解酒的食物有哪些？,"解酒,的,食物,有,哪些",0,food
3,历史,history,中国古代四大美女？,"中国,古代,四大美女",1,history
4,历史,history,第一颗人造地球卫星的名称是什么?,"第一颗,人造地球,卫星,的,名称,是,什么",1,history
5,科学,science,光在真空中的传播速度？,"光,真空,中,的,传播速度",2,science
6,科学,science,什么是ai,"什么,是",2,science
7,历史,history,中共革命根据地是哪里？,"革命,根据地,是,哪里",1,history
8,食物,food,鱼肚是什么,"鱼肚,是,什么",0,food
9,历史,history,谁发明了蒸汽机,"谁,发明,了,蒸汽机",1,history
10,历史,history,中国古代四大发明有哪些？,"中国,古代,四大发明,有,哪些",1,history
11,科学,science,什么是万有引力？,"什么,是,万有引力",2,science
12,科学,science,糖类的主要作用是什么,"糖类,的,主要,作用,是,什么",2,science
13,历史,history,什么是历史？,"什么,是,历史",1,history
14,食物,food,致癌类的食物有哪些？,"致癌,类,的,食物,有,哪些",0,food
15,科学,science,蛋白质主要由什么组成？,"蛋白质,主要,什么,组成",2,science
16,历史,history,中华民国的国父是谁？,"中华民国,的,国父,是,谁",1,history
17,食物,food,冬季吃什么食物？,"冬季,吃,什么,食物",0,food
18,科学,science,大数据包括那些特点,"大,数据,包括,那些,特点",2,science
19,科学,science,什么是阿伏伽德罗的号码？,"什么,是,阿伏,伽,德罗,的,号码",2,science
20,科学,science,什么是负载均衡,"什么,是,负载,均衡",2,science
21,科学,science,数据库事务四大特性是什么？,"数据库,事务,特性,是,什么",2,science
22,食物,food,过期的酸奶有什么用处,"过期,的,酸奶,有,什么,用处",0,food
23,科学,science,声音在空气中传播的速度是多少？,"声音,空气,中,传播,的,速度,是,多少",2,science
24,科学,science,什么是生物信息学？,"什么,是,生物,信息学",2,science
25,历史,history,古代妇女的四德是指哪些？,"古代,妇女,的,四德,是,指,哪些",1,history
26,历史,history,谁是美国第37届总统?,"谁,是,美国,第,37,届,总统",1,history
27,历史,history,圆明园是清代什么年间建造的,"圆明园,是,清代,什么,年间,建造,的",1,history
28,科学,science,云计算是干什么的,"云,计算,是,干什么,的",2,science
29,科学,science,什么是波长？,"什么,是,波长",2,science
30,科学,science,什么是热力学定律？,"什么,是,热力学,定律",2,science
31,食物,food,长寿类食物有哪些？,"长寿,类,食物,有,哪些",0,food
32,科学,science,什么是化学？,"什么,是,化学",2,science
33,食物,food,虾有什么营养,"虾,有,什么,营养",0,food
34,历史,history,什么叫做封建社会,"什么,叫做,封建社会",1,history
35,食物,food,花椰菜有什么营养,"花椰菜,有,什么,营养",0,food
36,历史,history,谁发明了电灯泡,"谁,发明,了,电灯泡",1,history
37,食物,food,草莓有什么营养,"草莓,有,什么,营养",0,food
38,科学,science,什么是惯性定律,"什么,是,惯性定律",2,science
39,历史,history,秦始皇什么时候统一中国,"秦始皇,什么,时候,统一,中国",1,history
40,食物,food,海带有什么营养,"海带,有,什么,营养",0,food
41,食物,food,大蒜有什么营养,"大蒜,有,什么,营养",0,food
42,历史,history,秦兵马俑在哪?,"秦兵马俑,哪",1,history
43,科学,science,月亮离地球有多远？,"月亮,离,地球,有,多,远",2,science
44,食物,food,食物的五味？,"食物,的,五味",0,food
45,食物,food,黄瓜有什么营养,"黄瓜,有,什么,营养",0,food
46,食物,food,土豆有什么营养,"土豆,有,什么,营养",0,food
47,历史,history,南京大屠杀死了多少人?,"南京大屠杀,死,了,多少,人",1,history
48,历史,history,太空竞赛是哪两个冷战对手之间，在20世纪航天能力的霸主地位上的竞争?,"太空,竞赛,是,哪,两个,冷战,对手,之间,20,世纪,航天,能力,的,霸主,地位,上,的,竞争",1,history
49,食物,food,猕猴桃有什么营养,"猕猴桃,有,什么,营养",0,food
50,食物,food,什么食物擦脸对脸皮肤好,"什么,食物,擦,脸,皮肤,好",0,food
51,科学,science,什么是聊天机器人？,"什么,是,聊天,机器人",2,science
52,食物,food,西餐菜品的顺序,"西餐,菜品,的,顺序",0,food
