,category,label,ask,ask_keyword,class_id,class
0,食物,food,隔夜茶能不能喝？,"隔夜茶,能,不能,喝",1,other
1,人格信息描述,profile,你可以失灵,"你,可以,失灵",0,profile
2,人格信息描述,profile,你能呼吸,"你,能,呼吸",0,profile
3,历史,history,中华民国的国父是谁？,"中华民国,的,国父,是,谁",1,other
4,食物,food,樱桃有什么营养,"樱桃,有,什么,营养",1,other
5,科学,science,什么是波长？,"什么,是,波长",1,other
6,人格信息描述,profile,你不害臊,"你,不,害臊",0,profile
7,食物,food,大蒜有什么营养,"大蒜,有,什么,营养",1,other
8,人格信息描述,profile,你运行在什么操作系统上？,"你,运行,什么,操作系统,上",0,profile
9,人格信息描述,profile,你可以行走吗,"你,可以,行走",0,profile
10,笑话,joke,给我讲一个笑话，换一个笑话,"我,讲,一个,笑话,换,一个,笑话",1,other
11,人格信息描述,profile,你是人是鬼是男是女?快快道来,"你,是,人,是,鬼,是,男,是,女,快快,道,来",0,profile
12,笑话,joke,给我讲一个笑话，换一个笑话,"我,讲,一个,笑话,换,一个,笑话",1,other
13,历史,history,美国是在哪年哪天独立的？,"美国,是,哪年,哪天,独立,的",1,other
14,人格信息描述,profile,你的生日是什么时候,"你,的,生日,是,什么,时候",0,profile
15,人格信息描述,profile,你叫啥,"你,叫,啥",0,profile
16,人格信息描述,profile,你有什么特长,"你,有,什么,特长",0,profile
17,人格信息描述,profile,谁是你的父亲,"谁,是,你,的,父亲",0,profile
18,人格信息描述,profile,我可以调戏你吗,"我,可以,调戏,你",0,profile
19,科学,science,什么是阿伏伽德罗的号码？,"什么,是,阿伏,伽,德罗,的,号码",1,other
20,食物,food,花椰菜有什么营养,"花椰菜,有,什么,营养",1,other
21,人格信息描述,profile,你家几口人,"你家,几口,人",0,profile
22,科学,science,什么是热力学定律？,"什么,是,热力学,定律",1,other
23,人格信息描述,profile,你是男的,"你,是,男,的",0,profile
24,人格信息描述,profile,我喜欢你,"我,喜欢,你",0,profile
25,笑话,joke,给我讲一个笑话，换一个笑话,"我,讲,一个,笑话,换,一个,笑话",1,other
26,人格信息描述,profile,你生气是什么样的？,"你,生气,是,什么样,的",0,profile
27,人格信息描述,profile,你认识我么,"你,认识,我么",0,profile
28,人格信息描述,profile,你在干什么？,"你,干什么",0,profile
29,食物,food,西餐菜品的顺序,"西餐,菜品,的,顺序",1,other
30,人格信息描述,profile,您穿什么尺码的鞋子,"您,穿,什么,尺码,的,鞋子",0,profile
31,人格信息描述,profile,你好可爱,"你好,可爱",0,profile
32,人格信息描述,profile,你写的是什么语言,"你,写,的,是,什么,语言",0,profile
33,人格信息描述,profile,你的机器人身体是什么,"你,的,机器人,身体,是,什么",0,profile
34,科学,science,蛋白质主要由什么组成？,"蛋白质,主要,什么,组成",1,other
35,人格信息描述,profile,你是白痴么,"你,是,白痴",0,profile
36,食物,food,五仁是哪些?,"五仁,是,哪些",1,other
37,笑话,joke,给我讲一个笑话，换一个笑话,"我,讲,一个,笑话,换,一个,笑话",1,other
38,人格信息描述,profile,你真的好闲,"你,真的,好,闲",0,profile
39,科学,science,光在真空中的传播速度？,"光,真空,中,的,传播速度",1,other
40,历史,history,什么叫历史遗留危险废物,"什么,叫,历史,遗留,危险废物",1,other
41,人格信息描述,profile,你知道我是谁么！,"你,知道,我,是,谁么",0,profile
42,科学,science,大数据包括那些特点,"大,数据,包括,那些,特点",1,other
43,历史,history,什么叫做封建社会,"什么,叫做,封建社会",1,other
44,人格信息描述,profile,你好吗?,你好,0,profile
45,人格信息描述,profile,你怎么能同时和这么多人聊,"你,怎么,能,同时,和,这么,多,人,聊",0,profile
46,科学,science,什么是万有引力？,"什么,是,万有引力",1,other
47,人格信息描述,profile,你可以去吗,"你,可以,去",0,profile
48,历史,history,中共革命根据地是哪里？,"革命,根据地,是,哪里",1,other
49,笑话,joke,笑话,笑话,1,other
50,人格信息描述,profile,你真可爱,"你,真,可爱",0,profile
51,人格信息描述,profile,你是狗嘴吐不出象牙,"你,是,狗嘴吐不,出,象牙",0,profile
52,人格信息描述,profile,我猜你是公的,"我,猜,你,是,公,的",0,profile
53,科学,science,什么是波长？,"什么,是,波长",1,other
54,科学,science,什么是化学？,"什么,是,化学",1,other
